Nom_media,Ville
La Voix du Cantal,Aurillac
La Montagne,Aurillac
La Montagne,Saint-Flour
La Dépêche d'Auvergne,Saint-Flour
L’union du Cantal,Aurillac
Jordanne FM,Aurillac
France 3 Rhone-Alpes Auvergne,Aurillac
SudCharente TV,Montmoreau
Sud-Ouest,Angoulême
Rhizome,Montbron
Rézonances TV,Angoulême
RCF Charente,Angoulême
Le Journal de Civray (Le Journal du Sud-Vienne),Ruffec
Le Confolentais,Ruffec
La vie Charentaise,Angoulême
La Charente Libre,Angoulême
L'avenir le Confolentais,Confolens
France 3 Nouvelle Aquitaine,Angoulême
Diffusion Charentaise,Angoulême
Courrier français de Charente,Angoulême
Attitude,Angoulême
Tintouin,Vierzon
Résonance -18,Bourges
RCF en Berry,Bourges
RCF en Berry,Bourges
Le Berry Républicain,Vierzon
Le Berry Républicain,Saint-Amand-Montrond
Le Berry Républicain,Aubigny-sur-Nère
Le Berry Républicain,Bourges
Le Berry Républicain,Aubigny-sur-Nère
Le Berry Républicain,Vierzon
Le Berry Républicain,Bourges
Le Berry Républicain,Saint-Amand-Montrond
La Voix du Sancerrois,Saint-Satur
L'information agricole du Cher,Saint-Doulchard
France 3,Bourges
Clash FM,Saint-Satur
Berry FM,Lignières
Vicomte,Meyssac
Totem,Brive-la-Gaillarde
RCF Corrèze,Ussel
Radio Pac,Arnac-Pompadour
Radio Pac,Arnac-Pompadour
Radio Grand Brive (Rgb),Objat
La Vie Corrézienne,Brive-la-Gaillarde
La Trousse Corrézienne,Tulle
La Montagne,Brive-la-Gaillarde
La Montagne,Ussel
La Montagne,Tulle
L'Union Paysanne,Tulle
L'Édition Périgord,Saint-Pantaléon-de-Larche
France 3 Nouvelle Aquitaine,Brive-la-Gaillarde
Corrèze Télévision,Uzerche
Breniges FM,Brive-la-Gaillarde
Bram'FM,Tulle
Bort Artense,Bort-les-Orgues
Actus Limousin,Saint-Angel
Sparse,Dijon
Shalom Dijon,Dijon
RCF en Bourgogne,Dijon
Monsieur en Bourgogne,Dijon
Le Journal du Palais de Bourgogne,Dijon
Le Journal du Palais,Dijon
Le Châtillonnais et l'Auxois,Châtillon-sur-Seine
Le Bien Public,Montbard
Le Bien Public,Beaune
Le Bien Public,Dijon
La Gazette Bourgogne,Dijon
L'inattendu,Ahuy
L'Auxois Libre,Semur-en-Auxois
K6FM,Dijon
Jondi,Dijon
Happy Bourgogne,Dijon
France Bleu Bourgogne,Dijon
France 3 Bourgogne Franche Comte,Dijon
Femmes en Bourgogne,Dijon
Dijoncter.info,Dijon
Dijon l'hebdo,Dijon
Dijon Capitale,Fontaine-lès-Dijon
Dijon Campus,Dijon
Dijon Beaune,Fontaine-lès-Dijon
Décideur,Dijon
Cultures Dijon,Dijon
Bourgogne Magazine,Fontaine-lès-Dijon
Auxois FM,Venarey-les-Laumes
AgriBourgogne,Bretenière
Vassivière,Royère-de-Vassivière
Télé Millevaches,Faux-la-Montagne
Radio Pays De Gueret,Guéret
La Montagne,Guéret
La Creuse Agricole,Guéret
IPNS,Faux-la-Montagne
France Bleu Creuse,Guéret
France 3 Nouvelle Aquitaine,Guéret
Zoom Radio,Grun-Bordas
Vallée Vezere (Terrasson),Terrasson-Lavilledieu
Vallée Vezere (Sarlat),Terrasson-Lavilledieu
Vallée De L'Isle (Rvi 101.4),Villefranche-de-Lonchat
Sud-Ouest,Périgueux
Sud-Ouest,Sarlat-la-Canéda
Réussir le Périgord,Périgueux
Radio Vallée Bergerac (R.V.B),Bergerac
Orion 87.6 - La Voix De La Vallée,Bergerac
Newest - Alpha 24,Villetoureix
Libres En Perigord (Rlp),Coulounieix-Chamiers
Liberte FM,Ribérac
Le Journal du Périgord Noir,Sarlat-la-Canéda
Le Démocrate Indépendant,Bergerac
L'Essor Sarladais,Sarlat-la-Canéda
Isabelle FM,Tocane-Saint-Apre
France Bleu Périgord,Périgueux
France 3 Nouvelle Aquitaine,Périgueux
Dordogne Libre,Périgueux
Cristal FM,Terrasson-Lavilledieu
Courrier français de Dordogne,Périgueux
Canal Pourpre,Bergerac
BIEN en Périgord,Champcevinel
B.95 (Radio Bergerac),Bergerac
Villages FM,Déservillers
Val De Morteau (Rvm),Morteau
Sud Besançon,Besançon
Shalom Besançon,Besançon
RCF Besançon Belfort,Besançon
Radio Campus Besançon (RCB),Besançon
Radio Bip,Besançon
PLEIN AIR,Doubs
P'tit Gibus FM,Valdahon
P'Tit Gibus,Pierrefontaine-les-Varans
Oméga,Audincourt
MaCommune.info,Besançon
La Terre de chez nous,Besançon
La Presse Pontissalienne,Morteau
La Presse du Doubs,Morteau
La Presse Bisontine,Morteau
L'Est Républicain,Pontarlier
L'Est Républicain,Montbéliard
L'Est Républicain,Besançon
France Bleu Besançon,Besançon
France 3 Franche-Comté,Besançon
France 3,Pontarlier
France 3,Montbéliard
Factuel,Besançon
Collège Villiers Le Lac,Villers-le-Lac
C'est à dire,Morteau
Bip,Besançon
Amitié,Grand-Charmont
Zig-Zag (Vallée Du Rhône),Beaufort-sur-Gervanne
Zig-Zag (Romans),Romans-sur-Isère
Soleil FM,Montélimar
Royans - A.C.C.R.,Saint-Jean-en-Royans
RDWA,Die
RCF Drôme,Valence
Radio Saint Ferréol,Crest
Radio Méga,Valence
Radio Là,Dieulefit
Radio BLV,Bourg-lès-Valence
Peuple Libre – Drôme hebdo,Valence
Montélimar News,Montélimar
Méga,Valence
M,Montélimar
Le Dauphiné Libéré,Crest
Le Dauphiné Libéré,Pierrelatte
Le Dauphiné Libéré,Romans-sur-Isère
Le Dauphiné Libéré,Montélimar
Le Dauphiné Libéré,Valence
Le Crestois,Crest
Le Bec,Crest
La Tribune de Pierrelatte,Pierrelatte
La Tribune de Montélimar,Montélimar
L'Impartial de la Drôme,Romans-sur-Isère
L'Hebdo de l'Ardèche – Terre Vivaroise,Valence
L'Echo Drôme Ardèche,Valence
L’Agriculture Drômoise,Bourg-lès-Valence
JOURNAL DU DIOIS ET DE LA DRÔME,Die
France Bleu Drôme Ardèche,Valence
France 3,Valence
Bourg Les Valence,Bourg Les Valence
A,Bourg-lès-Valence
Sensations Normandie,Bernay
RADIO CRISTAL,Évreux
Principe Actif,Évreux
Paris Normandie,Bernay
Paris Normandie,Évreux
Paris Normandie,Vernon
Paris Normandie,Louviers
Le Démocrate Vernonnais,Vernon
Le Courrier de l'Eure,Le Neubourg
La Dépêche de Louviers,Louviers
La Dépêche,Évreux
L'Impartial,Les Andelys
L'Eveil Normand,Bernay
L'Eveil de Pont Audemer,Pont-Audemer
L'Eure Agricole et Rurale,Guichainville
France 3 Normandie,Évreux
Eure Agricole,Guichainville
Espace Louviers(Normandie Picardie),Louviers
Espace Bernay,Louviers
27 actu,Évreux
Rtv 95.7,Dreux
Radio Intensité,Châteaudun
Le 28.TV,Chartres
L'écho Républicain,Dreux
L'écho Républicain,Châteaudun
L'écho Républicain,Chartres
L'écho Républicain,Nogent-le-Rotrou
L'Echo de Brou,Brou
L'Action L'Echo - édition Nogent,Nogent-le-Rotrou
Horizons Centre Ile-de-France,Chartres
Grand Ciel,Dreux
France 3 Paris Ile-De-France Centre,Chartres
Actu Chartres,Chartres
vià Occitanie Pays Gardois,Nîmes
TV Languedoc,Aspères
Totem,Alès
Télédraille,Tornac
Système,Vauvert
Raje Nîmes,Nîmes
Objectif Gard,Nîmes
Nimes Avé L Accent,Nîmes
Le Réveil du Midi,Nîmes
Le Républicain d'Uzès et du Gard,Uzès
Le Midi Libre,Bagnols-sur-Cèze
Le Midi Libre,Alès
Le Midi Libre,Beaucaire
Le Midi Libre,Villeneuve-lès-Avignon
Le Midi Libre,Nîmes
Le Commercial du Gard,Nîmes
La Gazette de Nîmes,Nîmes
L’Eko des Quartiers,Nîmes
Grille Ouverte,Alès
Fréquence Uzège,Uzès
France Bleu Gard Lozère,Nîmes
France 3,Nîmes
Escapades,Saint-Hippolyte-du-Fort
Ecclesia,Pont-Saint-Esprit
Delta FM Terre De Camargue,Aigues-Mortes
Alliance Plus,Nîmes
16,Bessèges
Voix du Midi Lauragais,Villefranche-de-Lauragais
Voix du Midi - Actu Toulouse,Toulouse
Voix du Gers,Toulouse
vià Occitanie Toulouse,Toulouse
TV Bruits,Toulouse
Toulouse7,Toulouse
Toulouse Infos,Toulouse
Toulouse FM,Toulouse
ToulEmploi,Toulouse
ToulÉco Tarn,Toulouse
ToulÉco Green,Toulouse
ToulÉco,Toulouse
Ter,Toulouse
Sortir (Toulouse),Toulouse
Reynerie TV,Toulouse
Reynerie Miroir,Toulouse
Résonance sonore,Toulouse
RADYONNE,Cierp Gaud
Radio,Toulouse
Présence Toulouse,Toulouse
Présence Pyrénées,Saint-Gaudens
Pireneus,Cierp-Gaud
Occitanie,Toulouse
Muret,Muret
Mon Pais,Toulouse
Melles 750,Melles
Médiacités Toulouse,Toulouse
Le trait d'union paysan,Toulouse
Le Journal Toulousain,Toulouse
Le Journal des entreprises,Labège
Le Journal de Saint-Palais et de Basse-Navarre,Saint-Orens-de-Gameville
Le Bon Mix,Toulouse
La Lettre M,Toulouse
La Gazette du Midi,Toulouse
La Dépêche du Midi,Muret
La Dépêche du Midi,Revel
La Dépêche du Midi,Saint-Gaudens
La Dépêche du Midi,Toulouse
L'Essentiel Toulouse,Toulouse
L’Echo du Tarn,Toulouse
IAATA,Toulouse
Galaxie,Rieux-Volvestre
France Bleu Occitanie,Toulouse
France 3 Midi-Pyrénées,Toulouse
FMr -31,Toulouse
De La Save,Lévignac
Côté Toulouse,Toulouse
Communauté Kol Aviv,Toulouse
Chouf Tolosa,Toulouse
Canal Sud,Toulouse
Campus Toulouse,Toulouse
Boudu Toulouse,Toulouse
Boudu,Toulouse
Booster - Belle Musique,Toulouse
Axe Sud,Muret
Altitude FM,Blagnac
Actu Rugby,Toulouse
20 Minutes,Toulouse
Ruchemania,Pavie
Revue Pyrénéenne,Auch
Le Canard Gascon,Lectoure
La Dépêche du Midi,Auch
La Dépêche du Midi,Condom
Hit FM 32,Auch
Gascogne FM,Auch
Fil De L'Eau,L'Isle-Jourdain
Distortion,L'Isle-Bouzon
DFM 930,Castéra-Verduzan
Coteaux,Saint-Blancard
Canal Bastide,Sainte-Foy-la-Grande
vià Occitanie Montpellier,Montpellier
Tout Montpellier,Montpellier
Sans Transition ! Occitanie,Montpellier
Salvetat Peinard,La Salvetat-sur-Agout
RTS (Radio Thau Sète),Sète
RCF Maguelone Hérault,Montpellier
Radio Pays D'Hérault Sud,Montagnac
Radio Pays D'Hérault,Saint-André-de-Sangonis
Radio One,Juvignac
Paysan du Midi,Saint-Jean-de-Védas
Montpellier City Crunch,Montpellier
Metropolitain,Pérols
Lokko,Montpellier
Lodeve,Lodève
Lenga D'Oc Montpellier,Montpellier
Le Pressoir,Montpellier
Le Poing,Montpellier
Le Midi Libre,Lunel
Le Midi Libre,Montpellier
Le Midi Libre,Agde
Le Midi Libre,Lodève
Le Midi Libre,Béziers
Le Midi Libre,Sète
Le Midi Libre,Saint-Jean-de-Védas
Le d'Oc,Montpellier
La Semaine du Minervois,Olonzac
La Pieuvre du Midi,Béziers
La Marseillaise,Montpellier
La gazette de Sète,Sète
L'Essentiel Montpellier,Montpellier
L'Espace Alpin,Lattes
L'Eko,Montpellier
L'Agglorieuse,Montpellier
L'Agglorieuse,Montpellier
Kaina TV,Montpellier
Grizette,Montpellier
France Bleu Hérault,Montpellier
France 3 Languedoc-Roussillon,Montpellier
France 3,Vendargues
FM Plus Montpellier,Montpellier
En vie à Beziers,Béziers
En pays varois,Saint-Jean-de-Védas
Divergence FM,Montpellier
Dis-leur,Sète
Clapas,Montpellier
Claap,Castelnau-le-Lez
Ciel Bleu,Thézan-lès-Béziers
Campus Montpellier,Montpellier
Busk,Montpellier
Aviva,Montpellier
Agglo TV,Mudaison
1987,Montpellier
La Nouvelle République du Centre-Ouest,Le Blanc
La Nouvelle République du Centre-Ouest,Issoudun
La Nouvelle République du Centre-Ouest,Châteauroux
La Bouinote,Châteauroux
L'Echo du Berry,La Châtre
France Bleu Berry,Châteauroux
France 3,Châteauroux
Dynamo,Le Blanc
BIP TV,Issoudun
Balistiq,Châteauroux
TV Tours Val-de-Loire,Tours
TMV,Tours
Terre de Touraine,Chambray-lès-Tours
RCF Touraine,Tours
Le vin ligérien,Tours
La Rotative,Tours
La Renaissance Lochoise,Loches
La Nouvelle République du Centre-Ouest,Amboise
La Nouvelle République du Centre-Ouest,Chinon
La Nouvelle République du Centre-Ouest,Loches
La Nouvelle République du Centre-Ouest,Tours
La lettre Valloire,Beaulieu-lès-Loches
Info Tours,Tours
Génération FM,Joué-lès-Tours
Fréquence Luynes,Luynes
France Bleu Touraine,Tours
France 3,Tours
Citéradio,Tours
Citeradio,Tours
Campus Tours,Tours
Béton,Tours
Antenne Portugaise,Ballan-Miré
Active,Amboise
Active,Montlouis-sur-Loire
37 degrés,Tours
Vibe(s) magazine,Grenoble
Terre Dauphinoise,Moirans
Télégrenoble,Grenoble
Spot (Grenoble),Grenoble
Rue Haute,Voiron
RCF Isère,Grenoble
Radio Passion,Vaulnaveys-le-Haut
Radio Kaléidoscope (RKS 97),Grenoble
Radio Gresivaudan,Crolles
Radio Fontaine,Fontaine
Radio Dragon,Mens
Radio Campus Grenoble,Saint-Martin-d'Hères
Place Gre'Net,Grenoble
Pixel FM,Montalieu-Vercieu
Phare FM Grenoble,Grenoble
Phare FM Dauphiné,La Verpillière
Oxygene Vercors,Corrençon-en-Vercors
Oxygène Oisans,Le Bourg-d'Oisans
Nord Isère,Saint-Marcellin
Millenium,Jarrie
Max FM,Eybens
Les Mondaines,Grenoble
Les Antennes,Grenoble
Les Affiches de Grenoble et du Dauphiné,Grenoble
Le Sport Dauphinois,Beaucroissant
le Postillon,Fontaine
Le Mémo de l'Isère,Grenoble
Le journal MINIZOU,Jarrie
Le Dauphiné Libéré,La Tour-du-Pin
Le Dauphiné Libéré,Voiron
Le Dauphiné Libéré,Vienne
Le Dauphiné Libéré,Bourgoin-Jallieu
Le Dauphiné Libéré,Veurey-Voroize
Le Crieur de la Villeneuve,Grenoble
Le Courrier Liberté,Bourgoin-Jallieu
La Vie Nouvelle,Grenoble
La Gazette de Vaulnaveys,Vaulnaveys-le-Haut
L'Essor Isère,Vienne
L'Averty,Grenoble
L'Allier Agricole,Grenoble
Italienne De Grenoble,Grenoble
Italienne À Chambéry,Grenoble
IFM,Eybens
IF Saint-Etienne,Saint-Marcellin
Gresivaudan,Crolles
Grenoble City Crunch,Grenoble
France Bleu Isère,Grenoble
France 3 Alpes,La Tronche
CRIC-Grenoble,Grenoble
Couleurs FM,Bourgoin-Jallieu
Couleurs FM,Bourgoin-Jallieu
Couleur Chartreuse,Saint-Laurent-du-Pont
Campus Grenoble,Saint-Martin-d'Hères
Cactus 38,Saint-Marcellin
C'Rock,Vienne
100 Kol Hachalom,Grenoble
RCF Jura,Dole
Le Progrès,Champagnole
Le Progrès,Saint-Claude
Le Progrès,Dole
Le Progrès,Lons-le-Saunier
Le Jura Agricole et Rural,Lons-le-Saunier
La Voix du Jura,Lons-le-Saunier
L'Hebdo du Haut-Jura,Saint-Claude
Jurawebtv.com,Foncine-le-Haut
Hebdo 39,Lons-le-Saunier
Fréquence Plus,Dole
France 3 Bourgogne Franche-Comte,Lons-le-Saunier
La Voix De L'Armagnac,Gabarret
Sweet FM,Blois
Studio Zef,Blois
RCF Loir-et-Cher,Blois
MEDIANAWPLUS,Blois
Le Petit Vendômois,Vendôme
Le petit Solognot,Romorantin-Lanthenay
La Renaissance du Loir et Cher,Blois
La Nouvelle République du Centre-Ouest,Vendôme
La Nouvelle République du Centre-Ouest,Romorantin-Lanthenay
La Nouvelle République du Centre-Ouest,Blois
France 3,Blois
TL7 (Télévision Loire 7),Saint-Genest-Lerpt
Soleil Saint-Étienne,Saint-Étienne
RCF Saint-Étienne,Saint-Étienne
Radio Pytagor,Balbigny
Radio Ondaine,Firminy
Radio Dio,Saint-Étienne
Paysans de la Loire,Saint-Priest-en-Jarez
Numéro Zéro,Saint-Étienne
Loire Football,Saint-Étienne
Loire FM,Saint-Étienne
Le Progrès,Saint-Étienne
Le Progrès,Andrézieux-Bouthéon
Le Progrès,Firminy
Le Progrès,Saint-Chamond
Le Progrès,Montbrison
Le Progrès,Roanne
Le Progrès,Saint-Étienne
Le Pays Roannais,Roanne
Le Journal des entreprises,Saint-Étienne
La Pie du Pilat,Pélussin
L'Essor Affiches Loire,Saint-Étienne
France Bleu Saint-Etienne Loire,Saint-Étienne
France 3,Saint-Étienne
Espérance -42,Saint-Étienne
D'Ici / Piraillon,Saint-Julien-Molin-Molette
Couac,Saint-Étienne
Activ Radio,Saint-Étienne
42 Info,Saint-Étienne
Zoomdici,Le Puy-en-Velay
TéLé Regain,Brioude
Strada,Queyrières
RCF Haute-Loire,Le Puy-en-Velay
Radio FM 43,Yssingeaux
Le Progrès,Yssingeaux
LDV TV,Monistrol-sur-Loire
La Ruche,Brioude
La Montagne,Le Puy-en-Velay
La Montagne,Brioude
La Lorgnette,Le Monastier-sur-Gazeille
L'Eveil Hebdo,Le Puy-en-Velay
L'Eveil Hebdo,Le Puy-en-Velay
L'éveil de la Haute Loire,Monistrol-sur-Loire
Haute-Loire Football,Espaly-Saint-Marcel
France 3,Le Puy-en-Velay
Craponne,Craponne-sur-Arzon
Vibration,Orléans
RCF Loiret,Orléans
Radio Vag,Artenay
Radio Arc-En-Ciel,Fleury-les-Aubrais
Publi45,Orléans
Pour info à Orléans,Orléans
Orléans TV,Boigny-sur-Bionne
Orléans Capitale,Orléans
Méga FM,Châteauneuf-sur-Loire
Mag’Centre,Orléans
Le Loiret Agricole,Orléans
Le journal de la Sologne,Meung-sur-Loire
Le Journal de Gien,Gien
Le Courrier du Loiret,Pithiviers
La Tribune Hebdo de Tours,Olivet
La Tribune Hebdo d'Orléans,Olivet
La république du Centre,Montargis
La république du Centre,Pithiviers
La république du Centre,Gien
La république du Centre,Orléans
La Gâtinaise,Montargis
L'Eclaireur du Gâtinais,Montargis
France Bleu Orléans,Orléans
France 3 Centre-Val de Loire,Orléans
France 3,Montargis
Edith,Orléans
Connexion FM,Courtenay
Chalette (C2L),Châlette-sur-Loing
Campus Orléans,Orléans
Apostrophe45,Orléans
Actu Orléans,Orléans
Présence Lot,Cahors
Medialot,Cahors
Les actualités locales au cinéma,Reilhaguet
La Vie Quercynoise,Cahors
La Dépêche du Midi,Cahors
La Dépêche du Midi,Figeac
La Dépêche du Midi,Cahors
La Défense Paysanne du Lot,Cahors
France 3 Sud,Cahors
DireLot,Cahors
Décibel FM,Biars-sur-Cère
Antenne D'Oc Cahors,Cahors
Antenne D'Oc,Porte-du-Quercy
Sud-Ouest,Tonneins
Sud-Ouest,Marmande
Sud-Ouest,Agen
Sud-Ouest,Villeneuve-sur-Lot
Quidam Hebdo,Agen
Le Républicain Lot et Garonne,Marmande
le Petit Bleu d'Agen,Agen
La Feuille,Villeneuve-sur-Lot
La Dépêche du Midi,Nérac
La Dépêche du Midi,Villeneuve-sur-Lot
La Dépêche du Midi,Agen
France 3 Nouvelle Aquitaine,Estillac
Espoir FM,Colayrac-Saint-Cirq
Courrier français du Lot-et-Garonne,Agen
Castel FM (C.F.M.),Casteljaloux
Bulle,Agen
Aquitaine Radio Diffusion Ard,Marmande
Albret FM,Nérac
47 FM,Agen
4 Ou Radio 4 Cantons,Villeréal
Totem,Mende
RCF Lozères,Mende
Radio Zema,Saint-Chély-d'Apcher
Radio Margeride,Termes
Radio Inter-Val,Saint-Martin-de-Boubaux
Radio Bartas,Florac Trois Rivières
Radio Bartas,Mende
Le Réveil Lozère,Mende
Le Midi Libre,Mende
La Lozère Nouvelle,Mende
France 3,Mende
Eaux Vives Lozère,Mende
Rps FM Parcay Stereo,Noyant-Villages
Reims Medias Libres,Reims
Reims Good News,Reims
RCF Reims-Ardennes,Reims
RCF Coeur de Champagne,Châlons-en-Champagne
Radio Mau-Nau,Châlons-en-Champagne
Primitive,Reims
LES PETITES AFFICHES MATOT BRAINE,Reims
La Marne Viticole,Reims
La Marne Agricole,Reims
La Marne Agricole,Reims
La Champagne viticole,Épernay
L'Union,Châlons-en-Champagne
L'Union,Reims
L'hebdo du vendredi,Reims
L'Ardennais - L'Union,Épernay
Jeunes Reims,Reims
Happy FM,Reims
Graffiti'S -51,Fismes
France Bleu Champagne Ardenne,Bétheniville
France 3 Champagne-Ardenne,Reims
Cigale FM,Tinqueux
Champagne FM,Reims
Bulle FM,Épernay
RCF Hauts de France,Saint-Dizier
Puissance TV,Saint-Dizier
Le Journal de la Haute-Marne,Langres
Le Journal de la Haute-Marne,Saint-Dizier
Le Journal de la Haute-Marne,Chaumont
La Voix de la Haute Marne,Chaumont
L'Avenir Agricole et Rurale de Haute-Marne,Chaumont
L'Affranchi de Chaumont,Chaumont
jhm,Chaumont
France 3 Lorraine Champagne Ardenne,Chaumont
Active Radio,Joinville
Rupt-De-Mad (Rdm),Thiaucourt-Regniéville
RCM,Thiaville-sur-Meurthe
RCF Lorraine Nancy,Villers-lès-Nancy
Radio Déclic,Villey-le-Sec
Radio Campus Lorraine,Nancy
Lorraine Actu Nancy,Nancy
LOR’FM,Cosnes-et-Romain
Les Tablettes Lorraines,Vandœuvre-lès-Nancy
Le Républicain Lorrain,Jarny
Le Républicain Lorrain,Longwy
Le Républicain Lorrain,Val de Briey
Le Républicain Lorrain,Houdemont
Le Paysan Lorrain,Laxou
Le Nouveau Jour J,Nancy
La Semaine de Nancy,Nancy
La Gazette Lorraine,Villers-lès-Nancy
La Fourmilière,Vandœuvre-lès-Nancy
L'Est Républicain,Toul
L'Est Républicain,Lunéville
L'Est Républicain,Pont-à-Mousson
L'Est Républicain,Nancy
Journal Tête de noeud,Nancy
Graffiti,Nancy
France Bleu Sud Lorraine,Nancy
France 3 Lorraine,Vandœuvre-lès-Nancy
"Fajet 94,2 FM Nancy",Nancy
Caraïb Nancy,Nancy
Canal Myrtille,Thiaville-sur-Meurthe
Aria,Longwy
Actu Nancy,Nancy
Activités -54,Pont-à-Mousson
RCF Lorraine Meuse,Verdun
Meuse FM Verdun,Thierville-sur-Meuse
Meuse FM,Verdun
Meuse Echos,Verdun
La Vie Agricole de la Meuse,Verdun
L'Est Républicain,Verdun
L'Est Républicain,Bar-le-Duc
Kit FM,Verdun
France 3 Lorraine Champagne-Ardenne,Bar-le-Duc
vià Mirabelle,Woippy
TV8 Moselle-Est,Forbach
TOUT-METZ,Metz
Thi'Journal,Thionville
THI Journal,Thionville
St Nabor,Saint-Avold
Rombas Télévision,Rombas
RCF Jerico Moselle,Metz
Radio Studio 1,Bitche
Radio Mélodie,Sarreguemines
Radio Mélodie,Sarreguemines
Radio Jérico,Metz
Peltre Loisir,Peltre
Mpt-woippy.tv,Woippy
Moselle Sport,Valmont
Mosaïk - Cristal,Bitche
Mosaïk - Cristal,Sarreguemines
Lorraine Actu,Metz
Loreina TV,Nilvange
Les voix de la Fensch,Nilvange
Le Républicain Lorrain,Bouzonville
Le Républicain Lorrain,Bitche
Le Républicain Lorrain,Woippy
Le Républicain Lorrain,Hayange
Le Républicain Lorrain,Sarreguemines
Le Républicain Lorrain,Forbach
Le Républicain Lorrain,Sarrebourg
Le Républicain Lorrain,Saint-Avold
Le Républicain Lorrain,Thionville
Le Républicain Lorrain,Metz
Le Journal des entreprises,Metz
La Semaine Metz Thionville Moselle,Metz
La Moselle Agricole,Metz
La Gazette Moselle,Metz
France Bleu Lorraine Nord,Metz
France 3 Lorraine Champagne-Ardenne,Sarreguemines
France 3,Metz
ENESTV,Creutzwald
Enes TV,Creutzwald
Direct FM,Metz
Cristal,Bitche
Borny Buzz,Metz
Sud Nivernais Radio,Decize
RCF Nièvre,Nevers
RCF Calvados-Manche,Nevers
RADIO N°1,Cosne-Cours-sur-Loire
Nevers,Coulanges-lès-Nevers
Le Régional de Cosne et du Charitois,Cosne-Cours-sur-Loire
Le Journal du Centre,Decize
Le Journal du Centre,Nevers
Le Journal du Centre,Clamecy
Koikispass,Nevers
Frequence Morvan Force 5 (Château-Chinon (Ville)),Inconnue
France 3 Bourgogne Franche-Comte,Nevers
Flotteurs FM,Clamecy
Fdl En Bourgogne,Luzy
Clamecy TV,Clamecy
Bac FM,Nevers
Wéo Picardie,Lille
Wéo Nord Pas-de-calais,Lille
Valenciennois.info,Valenciennes
Uylenspiegel,Cassel
To (Témoins Sur Les Ondes),Lille
Terres et Territoires,Lille
Sortir (Lille),Lille
RPL Radio,Lambersart
Radio Condé Macou,Condé-sur-l'Escaut
Radio Cité Vauban (RCV99FM),Lille
R.P.L 99FM,Lambersart
Quintessence Magazine,Wasquehal
Playloud,Lys-lez-Lannoy
Pépère News,Lille
Pastel FM,Roubaix
NordSports Mag,Wavrin
Nord Littoral,Hazebrouck
Nord Littoral,Dunkerque
Nord éclair,Lille
Mona FM,Armentières
METROPOLYS,Villeneuve-d'Ascq
Meet FM,Dunkerque
Médiacités Lille,Lille
Lille City Crunch,Lille
Liberté Hebdo,Lille
Le Phare Dunkerquois,Dunkerque
Le média autrement,Roubaix
Le Journal des Flandres,Dunkerque
Le Journal des entreprises,Villeneuve-d'Ascq
Le Courrier de Fourmies,Fourmies
Le blog2roubaix,Roubaix
La Voix du Nord,Lambersart
La Voix du Nord,Seclin
La Voix du Nord,Denain
La Voix du Nord,Hazebrouck
La Voix du Nord,Cambrai
La Voix du Nord,Cambrai
La Voix du Nord,Douai
La Voix du Nord,Dunkerque
La Voix du Nord,Roubaix
La Voix du Nord,Maubeuge
La Voix du Nord,Maubeuge
La Voix du Nord,Villeneuve-d'Ascq
La Voix du Nord,Villeneuve-d'Ascq
La Voix du Nord,Valenciennes
La Voix du Nord,Armentières
La Voix du Nord,Lille
La Sambre – la Frontière,Maubeuge
La Gazette Picardie,Lille
La Gazette Nord-Pas-de-Calais,Lille
La Brique,Lille
L'Observateur du Valenciennois,Valenciennes
L'Observateur du Douesis,Douai
L'Observateur du Cambrésis,Cambrai
L'Observateur de l'Avesnois,Avesnelles
L'Indicateur des Flandres,Hazebrouck
Galaxie,Wattrelos
France Bleu Nord,Lille
France 3 Nord Pas-de-Calais,Lille
France 3,Valenciennes
France 3,Lille
France 3,Dunkerque
Flandres Télévision,Bailleul
Echo FM,Anor
Delta FM,Gravelines
Dailynord,Bailleul
Croix du Nord - Lille Actu,Lille
Contact FM,Lille
Contact FM,Lille
CN'O,Valenciennes
Club,Wallers
Canal Gambsheim,Le Cateau-Cambrésis
Canal FM,Aulnoye-Aymeries
Campus Lille,Villeneuve-d'Ascq
Boomerang,Roubaix
BLC,Caudry
BFM Grand Lille / Grand Littoral,Villeneuve-d'Ascq
Beffroi Vision,Le Cateau-Cambrésis
Association synthoise pour la télévision locale / ASTV,Grande-Synthe
20 Minutes,Lille
Viv'FM,Noyon
Radio Valois Multien (R.V.M.),Betz
Puisaleine,Carlepont
Oise Hebdo,Beauvais
Oise Hebdo,Compiègne
Oise Hebdo,Compiègne
Oise Hebdo,Montataire
Nogent TV,Nogent-sur-Oise
Mercure,Beauvais
Le Parisien,Beauvais
Le Parisien,Creil
Le Parisien,Compiègne
Le Courrier Picard,Compiègne
Le Courrier Picard,Clermont
Le Courrier Picard,Beauvais
Le Courrier Picard,Noyon
Le Bonhomme Picard,Grandvilliers
La Gazette Oise,Beauvais
L'Oise Agricole,Beauvais
L'Observateur de Beauvais,Beauvais
L'essentiel Lille,Lille
L'Echo du Thelle,Méru
Hapyness Amiens,Hermes
Graf'Hit,Compiègne
France 3 Nord Pas-De-Calais Picardi,Beauvais
Evasion Oise,Saint-Maximin
Actu Oise,Beauvais
Tendance Ouest,Alençon
RCF Orne,Alençon
Pulse,Alençon
Ouest-France,Alençon
Normandie Passion,La Ferté-en-Ouche
Le Réveil Normand,L'Aigle
